ID	SENTENCE	BLOCK	PATTERN_TYPE	ACTUAL	ACCEPTABLE
0	I like huskies , except cats .	0	except-dogs	NR	N
1	I like cats , except huskies .	0	except-dogs	NR*	N
2	I like huskies , except dogs .	0	except-dogs	<	N
3	I like dogs , except huskies .	0	except-dogs	>	Y
4	I like huskies , except hamsters .	1	except-dogs	NR	N
5	I like hamsters , except huskies .	1	except-dogs	NR*	N
6	I like huskies , except dogs .	1	except-dogs	<	N
7	I like dogs , except huskies .	1	except-dogs	>	Y
8	I like huskies , except parrots .	2	except-dogs	NR	N
9	I like parrots , except huskies .	2	except-dogs	NR*	N
10	I like huskies , except dogs .	2	except-dogs	<	N
11	I like dogs , except huskies .	2	except-dogs	>	Y
12	I like huskies , except birds .	3	except-dogs	NR	N
13	I like birds , except huskies .	3	except-dogs	NR*	N
14	I like huskies , except dogs .	3	except-dogs	<	N
15	I like dogs , except huskies .	3	except-dogs	>	Y
16	I like bobtails , except cats .	4	except-dogs	NR	N
17	I like cats , except bobtails .	4	except-dogs	NR*	N
18	I like bobtails , except dogs .	4	except-dogs	<	N
19	I like dogs , except bobtails .	4	except-dogs	>	Y
20	I like bobtails , except hamsters .	5	except-dogs	NR	N
21	I like hamsters , except bobtails .	5	except-dogs	NR*	N
22	I like bobtails , except dogs .	5	except-dogs	<	N
23	I like dogs , except bobtails .	5	except-dogs	>	Y
24	I like bobtails , except parrots .	6	except-dogs	NR	N
25	I like parrots , except bobtails .	6	except-dogs	NR*	N
26	I like bobtails , except dogs .	6	except-dogs	<	N
27	I like dogs , except bobtails .	6	except-dogs	>	Y
28	I like bobtails , except birds .	7	except-dogs	NR	N
29	I like birds , except bobtails .	7	except-dogs	NR*	N
30	I like bobtails , except dogs .	7	except-dogs	<	N
31	I like dogs , except bobtails .	7	except-dogs	>	Y
32	I like bulldogs , except cats .	8	except-dogs	NR	N
33	I like cats , except bulldogs .	8	except-dogs	NR*	N
34	I like bulldogs , except dogs .	8	except-dogs	<	N
35	I like dogs , except bulldogs .	8	except-dogs	>	Y
36	I like bulldogs , except hamsters .	9	except-dogs	NR	N
37	I like hamsters , except bulldogs .	9	except-dogs	NR*	N
38	I like bulldogs , except dogs .	9	except-dogs	<	N
39	I like dogs , except bulldogs .	9	except-dogs	>	Y
40	I like bulldogs , except parrots .	10	except-dogs	NR	N
41	I like parrots , except bulldogs .	10	except-dogs	NR*	N
42	I like bulldogs , except dogs .	10	except-dogs	<	N
